"Family","Binomial","NeonateBodyMass_g","AdultBodyMass_g","AgeatEyeOpening_d","WeaningAge_d"
"Canidae","Canis aureus",211.82,9658.7,7.5,61.3
"Canidae","Canis latrans",200.01,11989.1,11.94,43.71
"Canidae","Canis lupus",412.31,31756.51,14.01,44.82
"Canidae","Canis mesomelas",177.2,8247.3,NA,34.1
"Otariidae","Callorhinus ursinus",5354.8,55464.82,0,108.69
"Herpestidae","Atilax paludinosus",100,3600.16,11.5,35.89
"Canidae","Cerdocyon thous",140,5741.66,14,72.33
"Phocidae","Erignathus barbatus",34536.93,279999.99,0,20.94
"Viverridae","Genetta genetta",77.75,1756.17,8,71.8
"Otariidae","Eumetopias jubatus",18250,382466.74,0,351
"Herpestidae","Galerella pulverulenta",20.19,791.4,NA,NA
"Eupleridae","Galidia elegans",48.73,810,4.5,59.27
"Procyonidae","Bassaricyon gabbii",54.99,1250,18.5,89.49
"Procyonidae","Bassariscus astutus",27.74,1010.37,33.12,53.84
"Felidae","Caracal caracal",195.86,11964.38,9.97,120.41
"Felidae","Catopuma temminckii",165.83,7726.46,NA,NA
"Canidae","Chrysocyon brachyurus",372.29,23325,9.03,119
"Viverridae","Civettictis civetta",317.3,12075.58,1.5,82.91
"Eupleridae","Eupleres goudotii",150,2763.34,1,62.99
"Hyaenidae","Crocuta crocuta",1460,63369.98,0,371.37
"Herpestidae","Crossarchus obscurus",9.78,1395.09,12,29.23
"Eupleridae","Cryptoprocta ferox",99.96,9500,17.75,136.1
"Canidae","Cuon alpinus",275,15800,14.01,57.33
"Phocidae","Cystophora cristata",21992.7,278896.81,0,9.5
"Mustelidae","Eira barbara",83,4134.99,41.5,94.46
"Mustelidae","Enhydra lutris",1894.37,27410.93,0,178.98
"Viverridae","Genetta tigrina",85.5,2066.57,13.72,87.77
"Felidae","Felis catus",113,2884.8,NA,NA
"Felidae","Felis chaus",135.5,7157.99,11.94,95.49
"Felidae","Felis manul",89,3050,NA,NA
